"filename", "language", "JavaScript", "JSON", "TypeScript", "PostCSS", "Markdown", "HTML", "JSON with Comments", "Svelte", "XML", "comment", "blank", "total"
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\CROSS\SUB\Scatter.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 79, 0, 1, 8, 88
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\DEMO\Calc.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 12, 64
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\DEMO\Demographie.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 228, 0, 1, 30, 259
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\DEMO\SUB\Lang.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 9, 131
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\DEMO\SUB\Stauts.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 7, 101
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\FINAL\Abschlussfragen.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 3, 25
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\FINAL\SUB\AVSBFINAL.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 88, 0, 1, 9, 98
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\FINAL\SUB\AvatarTextFinal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 123, 0, 2, 10, 135
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\FINAL\SUB\Interface.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 3, 52
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\Calc.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 14, 13, 66
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\GAAIS.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 35, 0, 2, 5, 42
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\SUB\GAAISMetrics.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 36, 0, 12, 4, 52
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\SUB\GAAISMetricsOverall.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 66, 0, 2, 9, 77
